year,name,volume
2018,SAE Technical Papers,2018-April
2018,"Wind Energy Symposium, 2018",
2018,Nonlinear Ultrasonic and Vibro-Acoustical Techniques for Nondestructive Evaluation,
2018,"2018 Spring Technical Meeting of the Western States Section of the Combustion Institute, WSSCI 2018",2018-March
2018,Proceedings of SPIE - The International Society for Optical Engineering,10645
2018,2018 AIAA/CEAS Aeroacoustics Conference,
2018,IEEE Journal of Oceanic Engineering,43
2018,Proceedings of the International Conference on Offshore Mechanics and Arctic Engineering - OMAE,5
2018,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",1
2018,"2018 Joint Rail Conference, JRC 2018",
2018,"AIAA Spacecraft Structures Conference, 2018",
2018,"AIAA Modeling and Simulation Technologies Conference, 2018",
2018,"Minerals, Metals and Materials Series",Part F8
2018,AIAA Journal,56
2018,Proceedings of SPIE - The International Society for Optical Engineering,10558
2018,Proceedings of SPIE - The International Society for Optical Engineering,10630
2018,Proceedings of SPIE - The International Society for Optical Engineering,10652
2018,Optics InfoBase Conference Papers,Part F124-OFS 2018
2018,"Pipelines 2018: Utility Engineering, Surveying, and Multidisciplinary Topics - Proceedings of Sessions of the Pipelines 2018 Conference",
2018,Applied Thermal Engineering,128
2018,Environmental Division 2018 - Core Programming Area at the 2018 AIChE Annual Meeting,
2018,Journal of Aerospace Information Systems,15
2018,"Pipelines 2018: Condition Assessment, Construction, and Rehabilitation - Proceedings of Sessions of the Pipelines 2018 Conference",
2018,Space Safety and Human Performance,
2018,Journal of Healthcare Engineering,2018
2018,Geological Society Special Publication,440
2018,Proceedings of SPIE - The International Society for Optical Engineering,10975
2017,"Proceedings - IEEE International Conference on Data Mining, ICDM",2017-November
2017,IEEE International Conference on Intelligent Robots and Systems,2017-September
2017,Industrial and Engineering Chemistry Research,56
2017,IEEE Transactions on Antennas and Propagation,65
2017,Annals of Biomedical Engineering,45
2017,IEEE/ACM Transactions on Audio Speech and Language Processing,25
2017,npj Computational Materials,3
2017,Archive for Rational Mechanics and Analysis,226
2017,Lowland Technology International,19
2017,IEEE Transactions on Professional Communication,60
2017,Journal of Sound and Vibration,408
2017,Journal of Reinforced Plastics and Composites,36
2017,IEEE Transactions on Circuits and Systems II: Express Briefs,64
2017,Computer Methods in Applied Mechanics and Engineering,326
2017,IEEE Sensors Journal,17
2017,"Proceedings - 2017 IEEE Cybersecurity Development Conference, SecDev 2017",
2017,Bioconjugate Chemistry,28
2017,"1st Annual IEEE Conference on Control Technology and Applications, CCTA 2017",2017-January
2017,IEEE MTT-S International Microwave Symposium Digest,
2017,International Journal of Construction Education and Research,13
2017,Journal of Professional Issues in Engineering Education and Practice,143
2017,Journal of Manufacturing Processes,29
2017,Journal of Traffic and Transportation Engineering (English Edition),4
2017,IEEE Transactions on Learning Technologies,10
2017,Research in Engineering Design,28
2017,Measurement: Journal of the International Measurement Confederation,108
2017,Midwest Symposium on Circuits and Systems,2017-August
2017,SAE Technical Papers,Part F130115
2017,Lab on a Chip,17
2017,Journal of Technology Education,29
2017,Journal of Computing and Information Science in Engineering,17
2017,International Journal of Industrial Organization,54
2017,Indoor Air,27
2017,"Journal of Medical Devices, Transactions of the ASME",11
2017,Osteoarthritis and Cartilage,25
2017,International Journal of Human Computer Studies,105
2017,Physical Review Fluids,2
2017,IEEE International Professional Communication Conference,
2017,Applied Optics,56
2017,Micromachines,8
2017,IEEE International Conference on Rehabilitation Robotics,
2017,Journal of Fluid Mechanics,824
2017,Computational Materials Science,136
2017,IEEE Transactions on Aerospace and Electronic Systems,53
2017,Journal of Mechanical Science and Technology,31
2017,Computer-Aided Design and Applications,14
2017,"2017 International Conference on Unmanned Aircraft Systems, ICUAS 2017",
2017,Proceedings - IEEE International Conference on Robotics and Automation,
2017,SAE Technical Papers,2017-December
2017,"2017 17th European Conference on Radiation and Its Effects on Components and Systems, RADECS 2017",
2017,"Journal of Energy Resources Technology, Transactions of the ASME",139
2017,"Proceedings - 2017 IEEE 17th International Conference on Bioinformatics and Bioengineering, BIBE 2017",2018-January
2017,Journal of Vacuum Science and Technology B: Nanotechnology and Microelectronics,35
2017,Journal of Construction Engineering and Management,143
2017,Proceedings of the American Control Conference,
2017,"ASEE Annual Conference and Exposition, Conference Proceedings",2017-June
2017,Engineering Structures,141
2017,International Journal of Electronics,104
2017,"Journal of Mechanical Design, Transactions of the ASME",139
2017,Building Simulation,10
2017,Computer Methods in Applied Mechanics and Engineering,319
2017,JOM,69
2017,"11th Annual IEEE International Systems Conference, SysCon 2017 - Proceedings",
2017,Materials Science and Engineering A,695
2017,IEEE Photonics Technology Letters,29
2017,Biosensors and Bioelectronics,91
2017,Fire Technology,53
2017,Electric Power Systems Research,146
2017,IEEE Transactions on Power Systems,32
2017,Biomaterials,126
2017,Nanotechnology,28
2017,Materials and Design,119
2017,Journal of Mechanisms and Robotics,9
2017,Quality and Reliability Engineering International,33
2017,SAE International Journal of Passenger Cars - Mechanical Systems,10
2017,ACM/IEEE International Conference on Human-Robot Interaction,Part F127194
2017,Electronics (Switzerland),6
2017,Optimization and Engineering,18
2017,Journal of Water Resources Planning and Management,143
2017,Journal of Management in Engineering,33
2017,International Journal of Multiphase Flow,89
2017,International Journal of Precision Engineering and Manufacturing,18
2017,Risk Analysis,37
2017,Journal of Technology Education,28
2017,Construction and Building Materials,134
2017,Experiments in Fluids,58
2017,Superconductor Science and Technology,30
2017,Materials and Design,115
2017,Structural and Multidisciplinary Optimization,55
2017,Journal of Hydraulic Engineering,143
2017,"IEEE Transactions on Components, Packaging and Manufacturing Technology",7
2017,Journal of Nonlinear Science,27
2017,"2016 IEEE Photonics Conference, IPC 2016",
2017,"AIAA Information Systems-AIAA Infotech at Aerospace, 2017",
2017,Proceedings of the ASME Turbo Expo,3
2017,Proceedings of the ASME Turbo Expo,2A-2017
2017,Transactions of the American Nuclear Society,117
2017,ICCM International Conferences on Composite Materials,2017-August
2017,Proceedings of the 26th USENIX Security Symposium,
2017,"30th International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS 2017",4
