affiliation,author_id
"Lafayette College, Easton, PA  18042, United States",7402967162
"Wavetronix Llc, Provo, UT, United States",56196521900
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States",56196521900
"Brigham Young University, Provo, UT, United States",56196521900
"Brigham Young University, Provo, UT, United States",35597296700
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States",35597296700
"Brigham Young University, Provo, UT  84602, United States",35597296700
"Wavetronix Llc, Provo, UT, United States",55649569259
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States, Research Department, Wavetronix, Provo, UT  84606, United States",55649569259
"Wavetronix LLC, Provo, UT, United States",55649569259
"Wavetronix, LLC, Provo, UT  84606, United States",55649569259
"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States",55849071700
"Mechanical Engineering, Brigham Young University, Provo, UT, United States",55849071700
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",57190404271
"Uber Advanced Technologies Group, Pittsburgh, PA  15201, United States",57190404271
"Electrical Engineering, Brigham Young University, Provo, UT, United States",57190404271
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",35562442700
"Brigham Young University, Provo, UT  84058, United States",35562442700
"Brigham Young University, Electrical and Computer Engineering, United States",35562442700
"Electrical and Computer Engineering Department, Brigham Young University, Provo, UT  84602, United States",35562442700
"Department of Electrical and Computer Engineering, Brigham Young University, Provo, UT  84602, United States",35562442700
"NASA Langley Research Center, Hampton, VA  23681, United States",35562442700
"Brigham Young University, Provo, UT  84604, United States, MAGICC Lab, Department of Electrical and Computer Engineering",35562442700
"Brigham Young University, Electrical and Computer Engineering Department, Provo, UT  84602, United States",35562442700
"Brigham Young University, Electrical and Computer Engineering, Provo, UT, United States",35562442700
"Brigham Young University, Department of Electrical and Computer Engineering, Provo, UT  84602, United States",35562442700
"Electrical and Computer Engineering, Brigham Young University, Provo, UT, United States",35562442700
"Brigham Young University, Provo, UT  84602, United States",35562442700
"Brigham Young University, United States",35562442700
"Brigham Young University, Provo, UT, United States",35562442700
"Brigham Young University, Provo, UT  84602, United States, Department of Electrical and Computer Engineering, United States",35562442700
"Department of Mechanical Engineering, Brigham Young University, Provo, UT, United States",7006542177
"Mechanical Engineering, Brigham Young University, Provo, UT, United States",7006542177
"Brigham Young University, Provo, UT  84602, United States",7006542177
"Dept. of Mechanical Engineering, Brigham Young University, Provo, UT  84604, United States",7006542177
"Department of Mechanical Engineering, Brigham Young University, United States",7006542177
"Department of Mechanical Engineering, Brigham Young University, Provo, UT  84602, United States",7006542177
"Mechanical Engineering, Brigham Young University, Provo, UT  84606, United States",7006542177
"Brigham Young University, Provo, UT  84602, United States, Department of Mechanical Engineering, United States",7006542177
"Air Force Research Laboratory, Eglin AFB, FL, United States",36668159600
"Munitions Directorate, Air Force Research Laboratory, Valparaiso, FL, United States",36668159600
